Product,Price,Rating,Sold,Image,Link
Crema Espresso - Kopi House Blend 500gr,111600,4.9,326100,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/65e685e7a0999323455035.jpg,/commercial-blend/crema-espresso-kopi-house-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=0
Kopi Susu Blend 1kg Biji Bubuk Kopi Arabica Robusta Otten Coffee,151200,4.9,18200,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/678dd2522fe73068975743.jpg,/commercial-blend/kopi-susu-blend-1kg-arabica-robusta?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=1
Premium Espresso Blend 1kg Biji Bubuk Kopi Arabica Robusta Otten Coffee,143100,4.9,15500,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/678dd237eb636607360964.jpg,/commercial-blend/premium-espresso-blend-1kg-50-arabica-50-robusta?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=2
Kopi Susu Blend - 500gr,83700,4.9,137200,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/65e6865280850695415970.jpg,/commercial-blend/kopi-susu-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=3
Kopi Gold Blend - 500gr,93600,4.9,90100,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6706390088a59218166342.jpg,/commercial-blend/kopi-gold-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=4
Kopi Kapsul - O10 Crema Espresso Coffee Capsule Nespresso Compatible,74500,5.0,25900,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/677619d2cc626499327097.jpg,/capsules/kopi-kapsul-o10-crema-espresso-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=5
Premium Arabica - Kopi House Blend 500gr,111600,4.9,55900,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66cd743335c73792695344.jpg,/commercial-blend/premium-arabica-kopi-house-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=6
Kopi Breakfast Blend - 500gr,66600,4.9,50200,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6706384674ccd542649425.jpg,/commercial-blend/breakfast-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=7
Biji Bubuk Kopi 100% Full Arabica Gayo Komersil House Blend 1kg Otten Coffee,162000,4.9,10300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/678dd296d6c17417234374.jpg,/commercial-blend/100-arabica-gayo-1-kg-komersil-house-blend?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=8
Golden Crema - Kopi House Blend 500gr,117000,4.9,13800,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66cd74836405f748352699.jpg,/commercial-blend/golden-crema-kopi-house-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=9
Kopi Kapsul - O10 Breakfast Blend Coffee Capsule Nespresso Compatible,74500,5.0,13600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6776193c233a3608708092.jpg,/capsules/kopi-kapsul-o10-breakfast-blend-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=10
Kopi Kapsul - O10 Kopi Susu Blend Coffee Capsule Nespresso Compatible,74500,4.9,18600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6776199470742289164486.jpg,/capsules/kopi-kapsul-o10-kopi-susu-blend-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=11
